,time,dB
0,1451491500.0,46.36
1,1451491800.0,45.73
2,1451492100.0,46.23
3,1451492400.0,45.4
4,1451492700.0,44.45
5,1451493000.0,48.91
6,1451493300.0,45.41
7,1451493600.0,45.84
8,1451493900.0,45.62
9,1451494200.0,44.32
10,1451494500.0,45.47
11,1451494800.0,47.85
12,1451495100.0,46.05
13,1451495400.0,41.88
14,1451495700.0,42.57
15,1451496000.0,43.66
16,1451496300.0,43.95
17,1451496600.0,46.29
18,1451496900.0,43.12
19,1451497200.0,47.19
20,1451497500.0,46.02
21,1451497800.0,48.67
22,1451498100.0,47.86
23,1451498400.0,44.71
24,1451498700.0,44.64
25,1451499000.0,45.35
26,1451499300.0,46.88
27,1451499600.0,43.41
28,1451499900.0,44.79
29,1451500200.0,42.74
30,1451500500.0,43.27
31,1451500800.0,43.13
32,1451501100.0,45.26
33,1451501400.0,46.86
34,1451501700.0,44.15
35,1451502000.0,47.75
36,1451502300.0,43.25
37,1451502600.0,46.07
38,1451502900.0,46.67
39,1451503200.0,48.1
40,1451503500.0,49.24
41,1451503800.0,49.77
42,1451504100.0,43.85
43,1451504400.0,46.22
44,1451504700.0,46.61
45,1451505000.0,47.54
46,1451505300.0,48.35
47,1451505600.0,45.61
48,1451505900.0,45.65
49,1451506200.0,45.47
50,1451506500.0,42.74
51,1451506800.0,43.53
52,1451507100.0,44.57
53,1451507400.0,47.77
54,1451507700.0,48.91
55,1451508000.0,49.57
56,1451508300.0,51.82
57,1451508600.0,47.9
58,1451508900.0,47.32
59,1451509200.0,48.6
60,1451509500.0,49.73
61,1451509800.0,49.72
62,1451510100.0,49.55
63,1451510400.0,55.43
64,1451510700.0,54.17
65,1451511000.0,55.5
66,1451511300.0,62.56
67,1451511600.0,59.28
68,1451511900.0,64.11
69,1451512200.0,64.92
70,1451512500.0,62.64
71,1451512800.0,57.31
72,1451513100.0,59.11
73,1451513400.0,60.77
74,1451513700.0,58.76
75,1451514000.0,56.87
76,1451514300.0,57.81
77,1451514600.0,55.96
78,1451514900.0,53.53
79,1451515200.0,55.05
80,1451515500.0,53.61
81,1451515800.0,53.42
82,1451516100.0,54.66
83,1451516400.0,53.13
84,1451516700.0,53.6
85,1451517000.0,51.6
86,1451517300.0,54.21
87,1451517600.0,54.6
88,1451517900.0,51.3
89,1451518200.0,50.67
90,1451518500.0,54.01
91,1451518800.0,52.92
92,1451519100.0,52.87
93,1451519400.0,53.37
94,1451519700.0,52.5
95,1451520000.0,52.99
96,1451520300.0,52.96
97,1451520600.0,53.82
98,1451520900.0,54.22
99,1451521200.0,55.24
100,1451521500.0,55.77
101,1451521800.0,54.89
102,1451522100.0,55.32
103,1451522400.0,54.02
104,1451522700.0,55.62
105,1451523000.0,54.44
106,1451523300.0,54.71
107,1451523600.0,54.99
108,1451523900.0,55.81
109,1451524200.0,61.01
110,1451524500.0,59.9
111,1451524800.0,57.32
112,1451525100.0,58.54
113,1451525400.0,54.57
114,1451525700.0,55.79
115,1451526000.0,55.51
116,1451526300.0,58.93
117,1451526600.0,57.8
118,1451526900.0,57.36
119,1451527200.0,57.78
120,1451527500.0,57.14
121,1451527800.0,57.02
122,1451528100.0,57.06
123,1451528400.0,58.19
124,1451528700.0,58.41
125,1451529000.0,57.3
126,1451529300.0,57.01
127,1451529600.0,67.22
128,1451529900.0,58.27
129,1451530200.0,58.49
130,1451530500.0,58.12
131,1451530800.0,56.46
132,1451531100.0,58.69
133,1451531400.0,58.37
134,1451531700.0,56.68
